iter	Passed	Remaining
0	143	143343
1	145	72750
2	147	49170
3	148	36993
4	149	29660
5	149	24774
6	150	21282
7	150	18685
8	152	16748
9	153	15230
10	155	13990
11	157	12966
12	159	12098
13	160	11336
14	161	10603
15	162	10000
16	163	9473
17	164	8998
18	166	8574
19	167	8189
20	168	7849
21	169	7540
22	170	7250
23	171	6982
24	172	6730
25	173	6497
26	174	6281
27	175	6079
28	176	5893
29	176	5717
30	177	5548
31	178	5391
32	178	5243
33	179	5102
34	180	4969
35	180	4844
36	181	4725
37	182	4613
38	182	4504
39	183	4400
40	183	4301
41	184	4205
42	184	4113
43	185	4025
44	185	3942
45	186	3862
46	186	3785
47	187	3712
48	187	3642
49	188	3575
50	188	3511
51	189	3448
52	189	3388
53	190	3330
54	190	3275
55	191	3222
56	191	3170
57	192	3120
58	192	3072
59	193	3025
60	193	2979
61	194	2935
62	194	2892
63	194	2851
64	195	2813
65	196	2776
66	196	2740
67	197	2701
68	197	2666
69	198	2633
70	198	2601
71	199	2570
72	200	2539
73	200	2509
74	201	2480
75	201	2452
76	202	2423
77	202	2395
78	203	2367
79	203	2340
80	204	2314
81	204	2289
82	204	2264
83	205	2240
84	205	2215
85	206	2192
86	206	2167
87	207	2145
88	207	2124
89	208	2103
90	208	2082
91	208	2062
92	209	2043
93	210	2024
94	210	2004
95	210	1985
96	211	1967
97	211	1949
98	212	1932
99	212	1916
100	213	1899
101	213	1881
102	214	1864
103	214	1848
104	215	1833
105	215	1817
106	215	1802
107	216	1787
108	216	1772
109	217	1759
110	217	1745
111	218	1731
112	218	1717
113	219	1704
114	219	1691
115	220	1677
116	220	1664
117	221	1652
118	221	1639
119	221	1627
120	222	1615
121	222	1603
122	223	1590
123	223	1579
124	223	1567
125	224	1557
126	225	1546
127	225	1535
128	226	1526
129	226	1516
130	227	1506
131	227	1496
132	228	1487
133	228	1478
134	229	1469
135	229	1460
136	230	1451
137	230	1442
138	231	1434
139	232	1425
140	232	1416
141	233	1408
142	233	1399
143	234	1391
144	234	1383
145	235	1375
146	235	1367
147	236	1359
148	236	1351
149	237	1343
150	237	1335
151	238	1328
152	238	1320
153	239	1313
154	239	1305
155	240	1298
156	240	1291
157	240	1284
158	241	1276
159	241	1270
160	242	1263
161	243	1257
162	243	1250
163	243	1243
164	244	1236
165	244	1230
166	245	1223
167	245	1217
168	246	1210
169	246	1204
170	247	1199
171	247	1193
172	248	1186
173	248	1180
174	249	1174
175	249	1169
176	250	1163
177	250	1157
178	251	1151
179	251	1146
180	251	1139
181	252	1133
182	252	1128
183	253	1122
184	253	1117
185	254	1112
186	254	1106
187	255	1101
188	255	1096
189	256	1091
190	256	1086
191	256	1081
192	257	1076
193	257	1071
194	258	1066
195	258	1061
196	259	1056
197	259	1051
198	259	1046
199	260	1041
200	260	1036
201	261	1032
202	261	1027
203	262	1022
204	262	1018
205	263	1013
206	263	1009
207	263	1004
208	264	1000
209	264	996
210	265	992
211	265	988
212	266	984
213	266	980
214	267	976
215	267	972
216	268	968
217	268	963
218	269	959
219	269	955
220	270	951
221	270	947
222	270	943
223	271	940
224	271	936
225	272	932
226	272	928
227	273	924
228	273	920
229	273	917
230	274	913
231	274	909
232	275	906
233	275	902
234	276	899
235	276	895
236	277	891
237	277	888
238	277	884
239	278	881
240	278	878
241	279	874
242	279	871
243	280	868
244	280	865
245	281	861
246	281	858
247	282	855
248	282	852
249	283	849
250	283	845
251	283	842
252	284	839
253	284	836
254	285	833
255	285	830
256	286	827
257	286	824
258	287	821
259	287	818
260	287	815
261	288	812
262	288	809
263	289	806
264	289	803
265	290	800
266	290	797
267	290	794
268	291	791
269	291	788
270	292	786
271	292	783
